id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
61mWefnWQOLf90gepjOCb3,Duality,['Slipknot'],05fG473iIaoy82BF1aGhL8,False,78,252613,0.354,0.000237,0.982,0.000294,0.204,-3.026,0.168,143.772,0.194
20I8RduZC2PWMWTDCZuuAN,Take Me Out,['Franz Ferdinand'],0XNa1vTidXlvJ2gHSsRi4A,False,77,237026,0.277,0.000409,0.663,0.00051,0.136,-8.821,0.0377,104.561,0.527
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,['The Killers'],0C0XlULifJtAgn6ZNCW2eu,False,84,222973,0.352,0.00121,0.911,0.0,0.0995,-5.23,0.0747,148.033,0.236
6nTiIhLmQ3FWhvrGafw2zj,American Idiot,['Green Day'],7oPftvlwr6VrsViSDV7fJY,True,77,176346,0.38,2.64e-05,0.988,7.86e-05,0.368,-2.042,0.0639,186.113,0.769
0ll8uFnc0nANY35E0Lfxvg,Somewhere Only We Know,['Keane'],53A0W3U0s8diEn9RhXQhVz,False,74,236160,0.453,0.0794,0.655,7.61e-06,0.0849,-4.22,0.0259,172.012,0.368
7lRlq939cDG4SzWOF4VAnd,I'm Not Okay (I Promise),['My Chemical Romance'],7FBcuc1gsnv6Y1nwFtNRCb,True,74,186480,0.21,0.00602,0.94,0.0,0.269,-3.427,0.123,179.722,0.255
2lwwrWVKdf3LR9lbbhnr6R,Float On,['Modest Mouse'],1yAwtBaoHLEDWAnWR87hBT,False,72,208466,0.649,0.013,0.888,2.23e-06,0.0888,-4.807,0.0293,100.975,0.553
7xyYsOvq5Ec3P4fr6mM9fD,Hysteria,['Muse'],12Chz98pHFMPJEknJQMWvI,False,72,227440,0.412,0.000456,0.92,0.0026,0.11,-4.852,0.0575,93.162,0.455
1LkoYGxmYpO6QSEvY5C0Zl,Scotty Doesn't Know,['Lustra'],3IJ770I1QPmwVp7yug0eJ4,False,68,175200,0.317,0.000449,0.887,9.23e-06,0.363,-4.525,0.0472,174.009,0.544
5oQcOu1omDykbIPSdSQQNJ,1985,['Bowling For Soup'],5ND0mGcL9SKSjWIjPd0xIb,False,68,193000,0.606,0.000242,0.887,0.0,0.337,-4.404,0.0598,119.974,0.903
507bYMYfbm6sUS9iEAaeSd,Broken,"['Seether', 'Amy Lee']",6B5c4sch27tWHAGdarpPaW,False,68,258333,0.448,0.0102,0.61,0.000491,0.135,-2.695,0.0342,123.762,0.214
6ZxrUCaynLgKSUudACOTwj,Cold,['Crossfade'],4IR8ZkpbyyKrqsIzchF3NB,False,67,194226,0.451,6.06e-05,0.815,0.0,0.27,-5.55,0.0368,147.974,0.618
6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,['The Killers'],0C0XlULifJtAgn6ZNCW2eu,False,77,197200,0.497,9.04e-05,0.97,0.000674,0.101,-4.851,0.0836,138.081,0.689
5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,['Green Day'],7oPftvlwr6VrsViSDV7fJY,True,75,262333,0.496,0.00552,0.682,2.94e-05,0.0589,-4.095,0.0294,167.06,0.474
5dTHtzHFPyi8TlTtzoz1J9,Helena,['My Chemical Romance'],7FBcuc1gsnv6Y1nwFtNRCb,False,73,204733,0.356,0.0142,0.96,0.0,0.209,-3.487,0.104,125.921,0.0857
2takcwOaAZWiXQijPHIx7B,Time is Running Out,['Muse'],12Chz98pHFMPJEknJQMWvI,False,67,237039,0.585,0.00242,0.842,0.00686,0.0866,-5.883,0.0556,118.211,0.428
6sqNctd7MlJoKDOxPVCAvU,My Happy Ending,['Avril Lavigne'],0p4nmQO2msCgU4IF37Wi3j,True,67,242413,0.414,0.00136,0.936,0.0,0.369,-2.407,0.0758,170.229,0.74
1ibeKVCiXORhvUpMmtsQWq,Pieces,['Sum 41'],0qT79UgT5tY4yudH9VfsdT,False,66,182040,0.457,0.00682,0.83,0.00337,0.166,-5.262,0.0321,99.93,0.602
3UULkHdmLDqBDPmBYltoRE,Metalingus,['Alter Bridge'],4DWX7u8BV0vZIQSpJQQDWU,False,65,259959,0.496,9.33e-06,0.981,0.0,0.0958,-3.268,0.108,109.905,0.163
3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,['Green Day'],7oPftvlwr6VrsViSDV7fJY,False,75,285653,0.546,0.023,0.814,0.0,0.0972,-5.146,0.0314,104.98,0.146
1yKAqZoi8xWGLCf5vajroL,The Ghost of You,['My Chemical Romance'],7FBcuc1gsnv6Y1nwFtNRCb,False,67,194253,0.202,0.0286,0.886,0.0,0.643,-3.805,0.0816,145.781,0.192
5vollujufHY0jMZxx77VWr,All These Things That I've Done,['The Killers'],0C0XlULifJtAgn6ZNCW2eu,False,70,301866,0.539,0.00245,0.702,2.37e-05,0.117,-7.291,0.0436,118.106,0.206
4absiGHMelB8eH976ytjBj,Evil,['Interpol'],3WaJSfKnzc65VDgmj2zU8B,False,65,215826,0.489,0.00135,0.769,0.56,0.0727,-3.524,0.038,128.985,0.637
1gVVSmhWjci8l9Vrsl6HaS,Vertigo,['U2'],51Blml2LZPmy7TTiAg47vQ,False,64,193520,0.416,0.000138,0.819,0.00108,0.147,-3.974,0.0613,140.083,0.632
58KPPL1AdLHMvR2O2PZejr,Jesus of Suburbia,['Green Day'],7oPftvlwr6VrsViSDV7fJY,True,64,548253,0.3,0.000259,0.929,2.26e-06,0.329,-3.214,0.0636,147.116,0.59
23DHUWJ7iEieNPMPKvjzBV,Ohio Is For Lovers,['Hawthorne Heights'],126FigDBtqwS2YsOYMTPQe,False,63,244480,0.566,0.0356,0.835,0.0,0.241,-6.87,0.0742,170.066,0.606
3jagGO7eHHuaD53ibehkux,Blood and Thunder,['Mastodon'],1Dvfqq39HxvCJ3GvfeIFuT,False,62,228586,0.364,8.58e-06,0.935,0.729,0.0317,-6.548,0.0724,92.717,0.478
7kF1iPJTj3VFJX9XokQ80F,Slither,['Velvet Revolver'],7CHilrn81OdYjkh4uSVnYM,False,62,248306,0.478,0.000266,0.974,0.0984,0.0738,-3.866,0.102,141.077,0.268
0cZDC7uxNK8lqQ3GgyvCnD,Nobody's Home,['Avril Lavigne'],0p4nmQO2msCgU4IF37Wi3j,False,61,212413,0.348,0.000516,0.907,0.0,0.161,-3.66,0.0497,185.406,0.177
4BJyt25nburVwbnESDeIc7,So Cold - Remix,['Breaking Benjamin'],5BtHciL0e0zOP7prIHn3pP,False,61,273440,0.49,0.00305,0.774,8.16e-05,0.12,-5.436,0.0604,153.048,0.297
6Hmj7SrLRbreLVfVS7mV1S,Wake Up,['Arcade Fire'],3kjuyTCjPG1WMFCiyc5IuB,False,61,335333,0.252,0.12,0.8,0.0538,0.118,-4.845,0.0368,139.361,0.29
3KANrKOFYyAxfjQJHkgBdb,Smile Like You Mean It,['The Killers'],0C0XlULifJtAgn6ZNCW2eu,False,65,234106,0.346,0.000461,0.965,0.012,0.214,-4.255,0.146,125.043,0.384
