id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,['Luke Combs'],718COspgdWOnwOFpJHRZHS,False,78,224426,0.608,0.0226,0.745,6.47e-06,0.0942,-4.13,0.0277,102.025,0.464
4686eQ81DEswHa90bcdlC9,Rock and A Hard Place,['Bailey Zimmerman'],3win9vGIxFfBRag9S63wwf,False,82,207540,0.582,0.577,0.568,0.0,0.105,-7.3,0.0275,121.991,0.394
5C9jQ8ikTOieveuORd8wlf,Like I Love Country Music,['Kane Brown'],3oSJ7TBVCWMDMiYjXNiCKE,False,61,234800,0.533,0.00075,0.802,0.000225,0.315,-6.73,0.0447,124.986,0.69
45XpHzRXZ5sS3ezoMbopc9,11 Beers (feat. Jake Owen),"['The Reklaws', 'Jake Owen']",37lYaYPWOHjKXBD33S6LNv,False,45,204333,0.593,0.18,0.941,0.0,0.329,-3.286,0.0406,119.99,0.82
0k11c8vwyeNSGQex6UMa1v,Last Night Lonely,['Jon Pardi'],4MoAOfV4ROWofLG3a3hhBN,False,67,182161,0.652,0.00544,0.813,0.0,0.101,-2.842,0.0268,102.987,0.851
5cc1GqkadgfMlLszRXqdhM,Waking Up Dreaming,['Shania Twain'],5e4Dhzv426EvQe3aDb64jL,False,58,198802,0.567,0.0264,0.737,0.0,0.0894,-3.642,0.118,91.827,0.543
7zwi0kPSFtdNUNIXZlKfNF,Shakin' In Them Boots,['Jade Eagleson'],2nTzAHwCk0swkDdIPj2FIP,False,54,169095,0.587,0.00946,0.934,0.0,0.727,-3.296,0.0455,117.014,0.841
5uU1uuyaUIBOiiUSQG7Wl3,You Proof,['Morgan Wallen'],4oUHIQIBe0LHzYfvXNW4QM,False,81,157477,0.731,0.252,0.85,0.0,0.605,-4.913,0.0336,119.706,0.644
200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,['Cole Swindell'],1mfDfLsMxYcOOZkzBxvSVW,False,76,206106,0.607,0.124,0.912,0.0,0.332,-3.449,0.0611,134.944,0.722
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,['Zach Bryan'],40ZNYROS4zLfyyBSs2PGe2,False,86,228013,0.369,0.555,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,0.148
4wBjKhJx6JnGoNJfJs24pd,Thinking 'Bout You (feat. MacKenzie Porter),"['Dustin Lynch', 'MacKenzie Porter']",1dID9zgn0OV0Y8ud7Mh2tS,False,71,170560,0.403,0.137,0.711,0.0,0.109,-4.189,0.0569,203.803,0.801
4Do7NhvafmOQENTNAus874,Where'd You Learn How To Do That,['Dean Brody'],0ryF1Gy87xVCOF0Jb666ak,False,54,174322,0.531,0.015,0.807,0.0,0.155,-3.61,0.0316,157.56,0.532
3fl4zil6HJ0N1FL3YIRwdC,Tennessee Orange,['Megan Moroney'],5Ppie0uPnbnvGBYRwYmlt0,False,76,223119,0.38,0.126,0.488,7.23e-06,0.115,-6.637,0.029,156.031,0.268
7trjNYF5ek7zX4GKSHQZbP,wait in the truck (feat. Lainey Wilson),"['HARDY', 'Lainey Wilson']",5QNm7E7RU2m64l6Gliu8Oy,False,74,277659,0.534,0.277,0.466,0.0,0.0979,-6.98,0.0272,140.0,0.23
2JspXl1hD5EUfyBln7r0F6,Dear Alcohol (feat. Elle King),"['Dax', 'Elle King']",5icKdCmMhNMYoAzVBAWt39,False,62,188307,0.815,0.207,0.514,0.0,0.118,-9.247,0.0638,130.021,0.372
6aIrXGmaFqPafbYgxbMUsj,AA,['Walker Hayes'],7sKxqpSqbIzphAKAhrqvlf,False,62,189560,0.634,0.00354,0.764,0.0,0.337,-5.858,0.0297,104.03,0.736
6AqwH2Y9FJwhUE2dCSkw1u,5 Foot 9,['Tyler Hubbard'],3BEV5FcxOtkQJ7lLRKMh3V,False,71,189780,0.602,0.146,0.796,0.0,0.125,-5.609,0.0465,106.005,0.53
11kskoMyNDumaR30CI6rRv,Half Of Me,"['Thomas Rhett', 'Riley Green']",6x2LnllRG5uGarZMsD4iO8,False,65,183026,0.575,0.00683,0.842,0.0,0.279,-5.058,0.0348,111.995,0.665
6Tm4Io4ct4w14nB1EUzsY3,Whiskey On You,['Nate Smith'],4NYMUsIcUUsBHbV9DICa5x,False,78,183789,0.479,7.02e-05,0.768,0.00549,0.121,-5.204,0.0312,110.024,0.576
0pnKcAh5binHOP9HexWwnZ,Dancin' In The Moonlight (feat. Lauren Alaina),"['Chris Lane', 'Lauren Alaina']",68abRTdO4meYReMWHvBYb0,False,66,199000,0.589,0.0196,0.829,0.0,0.128,-4.861,0.0332,121.998,0.563
6HBRLaSQ7NB8MNlaqzYen1,What My World Spins Around,['Jordan Davis'],77kULmXAQ6vWer7IIHdGzI,False,74,186790,0.675,0.105,0.726,0.0,0.153,-6.459,0.0461,124.872,0.671
5ZCjp56T8J6d7amJyFSzrI,Heart Like A Truck,['Lainey Wilson'],6tPHARSq45lQ8BSALCfkFC,False,74,199040,0.587,0.148,0.632,1.01e-05,0.158,-5.416,0.0311,139.974,0.392
4232gJU5ljjFmKaPh0cKds,Never Til Now (feat. Brett Young),"['Ashley Cooke', 'Brett Young']",2qwXeRk8VBAegbUnf3xdyi,False,64,173533,0.382,0.75,0.408,0.0,0.127,-7.552,0.0407,77.063,0.128
1tRxwf8Q0AcshfHuaD86Yt,Country On,['Luke Bryan'],0BvkDsjIUla7X0k6CSWh1I,False,60,236455,0.52,0.171,0.751,7.4e-06,0.0624,-5.064,0.0551,156.044,0.519
16Sdmdt7jpibASwEsO0s9j,Worth A Shot (feat. Dierks Bentley),"['Elle King', 'Dierks Bentley']",3bhu7P5PfngueRHiB9hjcx,False,64,211933,0.554,0.00481,0.809,0.00156,0.111,-4.893,0.039,159.989,0.462
3h10bRUpzMu0Umm2iXleYb,Wastin' Whiskey,['James Barker Band'],54lUDwCk35ihJuK3yJCqHA,False,48,190160,0.54,0.048,0.82,0.0,0.139,-3.055,0.0388,76.038,0.699
0De9jFjJ4eRLl7Yww2eBw1,Flower Shops (feat. Morgan Wallen),"['ERNEST', 'Morgan Wallen']",4GGfAshSkqoxpZdoaHm7ky,False,72,214405,0.527,0.118,0.461,0.0,0.0831,-5.908,0.0269,128.153,0.227
2kEhQe0BVtY8IIaFE5ALA0,Pickup,['MacKenzie Porter'],6nXco5Q3cJJ0ZutnBOsSpq,False,59,168447,0.614,0.45,0.837,2.49e-05,0.115,-3.967,0.0255,96.977,0.862
4eBaGa3ykdcmrGSKlHrAnV,Throw It Back (feat. Keith Urban),"['BRELAND', 'Keith Urban']",0C86lmpnwiyLDUiyo4d0P1,False,53,187219,0.794,0.0541,0.733,0.0,0.03,-4.915,0.0884,93.932,0.521
5FfgLIooERZ7rcNcwxAcdF,Hey Cowboy,['Devon Cole'],1VFt2HpmFG8Ufq6SDCoZe4,False,57,187049,0.771,0.0274,0.452,0.0,0.232,-6.648,0.0679,91.006,0.904
4uJDDG8vXJ6fZHtTfrPfMX,She Likes It (feat. Jake Scott),"['Russell Dickerson', 'Jake Scott']",1E2AEtxaFaJtH0lO7kgNKw,False,64,163311,0.79,0.509,0.325,0.0,0.155,-11.689,0.127,126.877,0.539
7eqCfMp6Lle7Ij3QjOwrya,If I Was a Cowboy,['Miranda Lambert'],66lH4jAE7pqPlOlzUKbwA0,False,60,194760,0.579,0.357,0.622,0.0,0.116,-5.683,0.0284,80.0,0.646
2uZzPb5Y4ZUancg3dSMauB,Songs About You,['Brett Eldredge'],0qSX3s5pJnAlSsgsCne8Cz,False,54,202386,0.649,0.147,0.558,0.0,0.172,-4.863,0.0253,89.988,0.635
1ynN7dkkujotC2rL31qX48,First Taste of Gone,['Josh Ross'],1ZGTSMjK1D2HrpPTOh916U,False,58,172782,0.647,0.831,0.374,0.0,0.103,-7.175,0.0264,106.05,0.406
0ENB9P6WtUEKYjQ3dKnK23,Everything She Ain’t,['Hailey Whitters'],4e9TBaTlI3LVQz3tkTYC0I,False,65,151973,0.796,0.175,0.621,0.0,0.274,-6.129,0.0346,121.904,0.808
4viFAHmivkYQKkwLvwKOgg,Water Under The Bridge,['Sam Hunt'],2kucQ9jQwuD8jWdtR9Ef38,False,71,169760,0.635,0.0697,0.866,0.0,0.0955,-2.695,0.0473,133.889,0.853
