id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
5UDqWOgDdixYMAgAyNbpgh,Merry Go 'Round,['Kacey Musgraves'],70kkdajctXSbqSMJbQO424,False,63,206893,0.651,0.541,0.466,0.0027,0.116,-9.403,0.0305,86.953,0.326
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,['Chris Stapleton'],4YLtscXsxbVgi031ovDDdh,False,80,293293,0.392,0.205,0.37,0.0096,0.0821,-10.888,0.0298,48.718,0.512
02eD9ymfJOJOhM97HYp5R9,The House That Built Me,['Miranda Lambert'],66lH4jAE7pqPlOlzUKbwA0,False,66,236626,0.525,0.578,0.3,8.3e-06,0.116,-8.005,0.0286,80.993,0.206
6foY66mWZN0pSRjZ408c00,Whiskey Glasses,['Morgan Wallen'],4oUHIQIBe0LHzYfvXNW4QM,False,79,234346,0.614,0.369,0.68,1.84e-06,0.115,-4.58,0.0289,149.959,0.707
2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,['Luke Combs'],718COspgdWOnwOFpJHRZHS,False,78,193200,0.551,0.676,0.402,0.0,0.0928,-7.431,0.0262,103.313,0.382
2wqXQjOmQ9KoBm9Ssgt4Fo,Peter Pan,['Kelsea Ballerini'],3RqBeV12Tt7A8xH3zBDDUF,False,64,200040,0.514,0.0284,0.659,0.0,0.266,-6.142,0.0309,76.483,0.463
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),"['Diplo', 'Morgan Wallen']",5fMUXHkw8R8eOP2RNVYEZX,True,76,169226,0.765,0.275,0.556,0.0,0.0824,-6.417,0.0512,111.033,0.274
3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,['Darius Rucker'],7FY5V3XMwlNBPitEjXowHQ,False,75,298373,0.537,0.455,0.66,0.0,0.135,-7.174,0.0296,148.096,0.574
0JbSghVDghtFEurrSO8JrC,Country Girl (Shake It For Me),['Luke Bryan'],0BvkDsjIUla7X0k6CSWh1I,False,74,225560,0.645,0.0293,0.904,0.0,0.0834,-4.532,0.0462,105.97,0.671
10M2Ex445zw585Ducldzkw,In Case You Didn't Know,['Brett Young'],0fiWOxhsBsQQvFDtxUQWo0,False,74,224853,0.607,0.386,0.536,0.0,0.102,-7.306,0.0305,147.986,0.434
5MwynWK9s4hlyKHqhkNn4A,Chasin' You,['Morgan Wallen'],4oUHIQIBe0LHzYfvXNW4QM,False,79,205453,0.631,0.657,0.591,0.0,0.11,-5.785,0.0277,97.074,0.489
1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,['Luke Combs'],718COspgdWOnwOFpJHRZHS,False,78,240760,0.551,0.013,0.801,6.03e-06,0.265,-5.069,0.0303,128.027,0.625
