,id,name,artists,artistid,explicit,popularity,durationms,year,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,dancepop,edm,pop,poprap,rap,arianagrande,badbunny,billieeilish,brunomars,calvinharris,cardib,chrisbrown,drake,dualipa,edsheeran,justinbieber,kendricklamar,khalid,nickiminaj,postmalone,rihanna,selenagomez,shawnmendes,taylorswift,theweeknd
16,5HQVUIKwCEXpe7JIHyY734,"Young, Wild & Free (feat. Bruno Mars)","['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']",7hJcb9fa4alzcOq3EaNPoG,True,74,207333,2012,0.715,0.0525,0.655,0.0,0.115,-6.425,0.137,95.078,0.531,0.0,0.0,0.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),"['Flo Rida', 'Sia']",0jnsk9HBra6NMjO2oANoPY,False,74,232946,2012,0.608,0.0991,0.86,0.0,0.262,-5.324,0.0554,127.075,0.437,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4esOae7i4rqTbAu9o5Pxco,Girl on Fire,['Alicia Keys'],3DiDSECUqqY1AuBP8qtaIa,False,74,224920,2012,0.482,0.135,0.706,0.00106,0.105,-5.762,0.0607,92.513,0.144,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6FB3v4YcR57y4tXFcdxI1E,I Knew You Were Trouble.,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,False,74,219720,2012,0.622,0.00454,0.469,2.25e-06,0.0335,-6.798,0.0363,77.019,0.679,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,7EQGXaVSyEDsCWKmUcfpLk,Die Young,['Kesha'],6LqNN22kT3074XbTVUrhzX,False,74,211920,2012,0.711,0.00498,0.7,0.000125,0.215,-4.805,0.046,128.001,0.801,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1jF7IL57ayN4Ity3jQqGu0,Try,['P!nk'],1KCSPY1glIKqW2TotWuXOR,False,74,247906,2012,0.674,0.00144,0.628,0.0,0.0944,-7.079,0.03,103.998,0.552,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5yVIlYEHZxQVLyInCdldoS,Impossible,['James Arthur'],4IWBUUAFIplrNtaOHcJPRM,False,74,209440,2012,0.376,0.135,0.695,0.0,0.11,-4.782,0.0933,169.533,0.302,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1kPpge9JDLpcj15qgrPbYX,Good Time,"['Owl City', 'Carly Rae Jepsen']",07QEuhtrNmmZ0zEcqE9SF6,False,74,205933,2012,0.56,0.0239,0.872,6.98e-06,0.371,-4.269,0.14,126.05,0.682,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0U10zFw4GlBacOy9VDGfGL,We Found Love,"['Rihanna', 'Calvin Harris']",5pKCCKE2ajJHZ9KAiaK11H,False,74,215226,2012,0.735,0.025,0.766,0.00138,0.108,-4.485,0.0383,127.985,0.6,1.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),"['Pitbull', 'Chris Brown']",0TnOYISbd1XYRBk9myaseg,False,73,227280,2012,0.67,0.0124,0.855,0.0,0.335,-3.035,0.0499,120.05,0.648,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,124NFj84ppZ5pAxTuVQYCQ,Take Care,"['Drake', 'Rihanna']",3TVXtAsR1Inumwj472S9r4,True,72,277386,2012,0.629,0.0267,0.515,1.22e-05,0.0888,-10.358,0.265,121.845,0.299,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
27,3bC1ahPIYt1btJzSSEyyrF,Whistle,['Flo Rida'],0jnsk9HBra6NMjO2oANoPY,False,74,224653,2012,0.747,0.0208,0.937,0.0,0.29,-5.746,0.0453,103.976,0.739,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
