id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
4Li2WHPkuyCdtmokzW2007,Ni**as In Paris,"['JAY-Z', 'Kanye West']",3nFkdlSjzX9mRTtwJOzDYB,True,82,219333,0.789,0.127,0.858,0.0,0.349,-5.542,0.311,140.022,0.775
5hUYsaOyMY32yjRXeuQwGj,Mirror,"['Lil Wayne', 'Bruno Mars']",55Aa2cqylxrFIXC767Z865,True,74,228093,0.328,0.858,0.622,0.0,0.104,-7.291,0.0866,74.267,0.401
2wAJTrFhCnQyNSD3oUgTZO,Work Out,['J. Cole'],6l3HvQ5sa6mXTsMTB19rO5,True,79,235320,0.831,0.0531,0.427,0.0,0.307,-6.903,0.106,93.004,0.216
6LxSe8YmdPxy095Ux6znaQ,Headlines,['Drake'],3TVXtAsR1Inumwj472S9r4,True,75,235986,0.636,0.365,0.566,0.000353,0.0917,-7.16,0.106,151.894,0.425
0zo4aX57COch7Wh3NRImTM,Heartbeat,['Childish Gambino'],73sIBHcqh3Z3NyqHKZ7FOL,True,74,269840,0.8,0.00369,0.545,0.000461,0.0445,-7.002,0.127,119.954,0.294
0SA0mMXWh23raZ6xzOCU2V,She,"['Tyler, The Creator', 'Frank Ocean']",4V8LLVI7PbaPR0K2TGSxFF,True,73,253386,0.35,0.256,0.621,3.44e-05,0.613,-6.495,0.233,83.375,0.459
7EQvdUJqZ2i7SWvSB2VqGA,Doomsday,"['MF DOOM', 'Pebbles The Invisible Girl']",2pAWfrd7WFF3XhVt9GooDL,True,72,298053,0.856,0.0973,0.84,0.0,0.0773,-7.736,0.334,95.416,0.792
2Fw5S2gaOSZzdN5dFoC2dj,A.D.H.D,['Kendrick Lamar'],2YZyLoL8N0Wb9xBt1NhZWg,True,71,215509,0.609,0.33,0.799,0.0,0.108,-6.883,0.24,157.74,0.582
4Kz4RdRCceaA9VgTqBhBfa,The Motto,"['Drake', 'Lil Wayne']",3TVXtAsR1Inumwj472S9r4,True,73,181573,0.766,0.000107,0.442,6.12e-05,0.111,-8.558,0.356,201.8,0.39
3Osd3Yf8K73aj4ySn6LrvK,No Church In The Wild,"['JAY-Z', 'Kanye West', 'Frank Ocean', 'The-Dream']",3nFkdlSjzX9mRTtwJOzDYB,True,73,272506,0.654,0.246,0.75,0.0178,0.167,-7.509,0.105,92.78,0.557
5Qy6a5KzM4XlRxsNcGYhgH,6 Foot 7 Foot,"['Lil Wayne', 'Cory Gunz']",55Aa2cqylxrFIXC767Z865,True,71,248586,0.364,0.0007,0.752,0.0,0.318,-5.429,0.304,79.119,0.606
25ypHCQpDX2nrDFly7eZLZ,Bonfire,['Childish Gambino'],73sIBHcqh3Z3NyqHKZ7FOL,True,71,192946,0.506,0.0594,0.745,0.0,0.373,-6.041,0.332,161.798,0.284
3hsmbFKT5Cujb5GQjqEU39,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"['Chris Brown', 'Lil Wayne', 'Busta Rhymes']",7bXgB6jMjp9ATFy66eO08Z,True,70,222586,0.767,0.0339,0.677,5.51e-06,0.144,-6.128,0.184,146.155,0.538
2c5Isyd07hWsl7AQia2Dig,Fast Lane,['Bad Meets Evil'],77IURH5NC56Jn09QHi76is,True,70,249560,0.615,0.0388,0.871,0.0,0.246,-3.804,0.281,119.149,0.338
70ATm56tH7OrQ1zurYssz0,I Need A Doctor,"['Dr. Dre', 'Eminem', 'Skylar Grey']",6DPYiyq5kWVQS4RGwxzPC7,True,69,283733,0.594,0.0869,0.946,0.0,0.306,-4.521,0.452,155.826,0.397
4NTWZqvfQTlOMitlVn6tew,The Show Goes On,['Lupe Fiasco'],01QTIT5P1pFP3QnnFSdsJf,True,68,239613,0.591,0.0189,0.889,0.0,0.155,-3.839,0.115,143.067,0.65
608a1wIsSd5KzMEqm1O7w3,I'm On One,"['DJ Khaled', 'Drake', 'Rick Ross', 'Lil Wayne']",0QHgL1lAIqAw0HtD7YldmP,True,68,296146,0.413,0.0536,0.807,0.0,0.631,-3.499,0.318,149.33,0.438
5Pt83OUaK3K9C2if4C5JOk,Gotta Have It,"['JAY-Z', 'Kanye West']",3nFkdlSjzX9mRTtwJOzDYB,True,70,140746,0.74,0.411,0.574,0.0,0.262,-6.938,0.245,149.762,0.33
0m1KYWlT6LhFRBDVq9UNx4,HYFR (Hell Ya Fucking Right),"['Drake', 'Lil Wayne']",3TVXtAsR1Inumwj472S9r4,True,68,206626,0.444,0.123,0.627,0.0,0.0795,-8.744,0.252,98.21,0.359
0b4M7hd7mzLTm99MrMeZsp,She Will,"['Lil Wayne', 'Drake']",55Aa2cqylxrFIXC767Z865,True,66,305840,0.364,0.000402,0.841,0.0,0.242,-4.831,0.119,100.14,0.0841
3MAgQuClHcAV8E9CbeBS6f,Lotus Flower Bomb (feat. Miguel),"['Wale', 'Miguel']",67nwj3Y5sZQLl72VNUHEYE,True,66,213253,0.512,0.611,0.598,0.0,0.0881,-4.959,0.115,70.189,0.345
5zpDHEU12zATwLGvozxPw2,Lighters,"['Bad Meets Evil', 'Bruno Mars']",77IURH5NC56Jn09QHi76is,True,67,303813,0.676,0.352,0.695,0.0,0.119,-8.327,0.245,90.268,0.144
6YbhspuOar1D9WSSnfe7ds,"Young, Wild & Free (feat. Bruno Mars)","['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']",7hJcb9fa4alzcOq3EaNPoG,False,66,207346,0.553,0.0897,0.652,0.0,0.111,-6.685,0.206,94.505,0.551
7yfg0Eer6UZZt5tZ1XdsWz,Make Me Proud,"['Drake', 'Nicki Minaj']",3TVXtAsR1Inumwj472S9r4,True,66,219893,0.684,0.00268,0.486,0.000148,0.157,-10.155,0.132,131.913,0.355
4OkiWfrZKmmVoILXk8JEtl,In The Morning,"['J. Cole', 'Drake']",6l3HvQ5sa6mXTsMTB19rO5,False,66,234386,0.44,0.764,0.671,0.0,0.212,-10.598,0.477,83.078,0.479
61LtVmmkGr8P9I2tSPvdpf,Teach Me How to Dougie,['Cali Swag District'],1EeArivTpzLNCqubV95255,True,65,237480,0.846,0.2,0.438,9.43e-05,0.0939,-4.981,0.141,85.013,0.512
4WEuEfFiczWxblHyuucSBL,HiiiPower,['Kendrick Lamar'],2YZyLoL8N0Wb9xBt1NhZWg,True,65,279854,0.695,0.179,0.827,0.0,0.283,-5.742,0.282,81.024,0.538
2kzRSiyignH8yzPTrWvyPo,No Sleep,['Wiz Khalifa'],137W8MRPWKqSmrBGDBFSop,True,63,191320,0.653,0.109,0.711,0.0,0.443,-6.454,0.0623,160.048,0.769
1nwkSqzTyXBk6XF796EOav,Yonkers,"['Tyler, The Creator']",4V8LLVI7PbaPR0K2TGSxFF,True,63,249333,0.712,0.0161,0.759,0.0808,0.217,-5.397,0.334,79.102,0.738
7sjwaBQ6M3aVigYfBjm1sL,Ima Boss (feat. Rick Ross),"['Meek Mill', 'Rick Ross']",20sxb77xiYeusSH8cVdatc,True,62,250240,0.37,0.0415,0.87,0.0,0.604,-2.09,0.271,79.092,0.331
0jF2AdhsalO1L7KkhK4LE5,Practice,['Drake'],3TVXtAsR1Inumwj472S9r4,True,66,237733,0.446,0.574,0.239,7.76e-05,0.12,-15.327,0.0876,104.675,0.31
