id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
7Ie9W94M7OjPoZVV216Xus,Not Afraid,['Eminem'],7dGJo4pcD2V6oG8kP0tJRR,True,79,248133,0.855,0.529,0.954,0.0,0.205,-1.19,0.264,114.635,0.668
2gZUPNdnz5Y45eiGxpHGSc,POWER,['Kanye West'],5K4W6rqBFWDnAN6FQUkS6x,True,76,292093,0.542,0.0161,0.914,0.0,0.744,-4.747,0.113,153.993,0.576
5A6OHHy73AR5tLxgTc98zz,Black and Yellow,['Wiz Khalifa'],137W8MRPWKqSmrBGDBFSop,True,74,217666,0.684,0.0646,0.834,0.0,0.271,-4.524,0.0675,164.02,0.538
5W7xC99N2Zzfh69r7I7zWK,Aston Martin Music,"['Rick Ross', 'Drake', 'Chrisette Michele']",1sBkRIssrMs1AbVkOJbc7a,True,67,270626,0.57,0.0124,0.58,0.0,0.0498,-5.547,0.21,171.812,0.404
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),"['Waka Flocka Flame', 'Roscoe Dash', 'Wale']",6f4XkbvYlXMH0QgVRzW0sM,True,74,263773,0.76,0.00544,0.595,0.0,0.241,-6.366,0.0391,131.497,0.361
59dLtGBS26x7kc0rHbaPrq,Nothin' on You (feat. Bruno Mars),"['B.o.B', 'Bruno Mars']",5ndkK3dpZLKtBklKjxNQwT,False,74,268320,0.688,0.386,0.853,0.0,0.0862,-5.814,0.0493,103.993,0.743
393MDhe62s8hbH8ETrlxe5,Mr. Rager,['Kid Cudi'],0fA0VVWsXO9YnASrzqfmYu,False,73,294226,0.671,0.389,0.726,0.882,0.14,-8.689,0.0272,102.002,0.581
0x3TibRgnSqzkcwrqBd4iX,Down On Me,"['Jeremih', '50 Cent']",3KV3p5EY4AvKxOlhGHORLg,False,73,228453,0.7,0.0369,0.598,0.0,0.111,-7.783,0.114,160.041,0.594
5Qy6a5KzM4XlRxsNcGYhgH,6 Foot 7 Foot,"['Lil Wayne', 'Cory Gunz']",55Aa2cqylxrFIXC767Z865,True,71,248586,0.364,0.0007,0.752,0.0,0.318,-5.429,0.304,79.119,0.606
2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),"['Travie McCoy', 'Bruno Mars']",7o9Nl7K1Al6NNAHX6jn6iG,True,70,211160,0.633,0.297,0.673,0.0,0.206,-6.403,0.258,86.776,0.659
15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,"['Eminem', 'Rihanna']",7dGJo4pcD2V6oG8kP0tJRR,True,82,263373,0.749,0.241,0.925,0.0,0.52,-5.034,0.227,86.989,0.641
