id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"['Drake', '21 Savage']",3TVXtAsR1Inumwj472S9r4,True,86,218364,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,0.366
1rDQ4oMwGJI7B4tovsBOxc,First Class,['Jack Harlow'],2LIk90788K0zvyj2JJVwkJ,True,35,173947,0.905,0.0254,0.563,9.71e-06,0.113,-6.135,0.102,106.998,0.324
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),"['Future', 'Drake', 'Tems']",1RyvyyTE3xzB2ZywiAwp0i,True,84,189893,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,0.339
1CfuBY3BDdKpooQ9L5zgUc,Cigarettes,['Juice WRLD'],4MCBfE4596Uoi2O4DtmEMz,True,75,227527,0.587,0.0306,0.614,0.0,0.399,-6.344,0.0435,160.075,0.451
3RSNYrTfBFBv4NTRfKNp2M,Cooped Up (with Roddy Ricch),"['Post Malone', 'Roddy Ricch']",246dkjvS1zLTtiykXe5h60,True,55,185857,0.669,0.038,0.773,0.0,0.113,-5.619,0.153,93.923,0.377
0fX4oNGBWO3dSGUZcVdVV2,N95,['Kendrick Lamar'],2YZyLoL8N0Wb9xBt1NhZWg,True,79,195950,0.79,0.377,0.67,2.32e-06,0.119,-5.527,0.105,139.956,0.408
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),"['Gunna', 'Future', 'Young Thug']",2hlmm7s2ICUX0LVIhVFlZQ,True,75,136266,0.773,0.00783,0.422,0.00693,0.129,-4.572,0.187,77.502,0.488
2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",0iEtIxbK0KxaSlF7G42ZOp,True,95,221520,0.715,0.417,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172
1hB3M3POeKMLxcEFEvPeqU,Already Dead,['Juice WRLD'],4MCBfE4596Uoi2O4DtmEMz,True,72,231220,0.744,0.0216,0.495,0.0,0.111,-6.311,0.0634,83.51,0.128
1HvTxgCj0mTzQlEo0zLvFb,In My Head,['Lil Tjay'],6jGMq4yGs7aQzuGsMgVgZR,True,74,135264,0.684,0.159,0.545,0.0,0.102,-6.885,0.121,143.049,0.407
1bDbXMyjaUIooNwFE9wn0N,Rich Flex,"['Drake', '21 Savage']",3TVXtAsR1Inumwj472S9r4,True,90,239359,0.561,0.0503,0.52,1.86e-06,0.355,-9.342,0.244,153.15,0.424
7Ddk8FhoYKdsVoX9AOCPMm,STAYING ALIVE (feat. Drake & Lil Baby),"['DJ Khaled', 'Drake', 'Lil Baby']",0QHgL1lAIqAw0HtD7YldmP,True,70,178176,0.677,0.0668,0.495,0.0,0.319,-7.174,0.0821,129.974,0.152
1oc92BMKYkNxK17C2GtyRM,Distraction,['Polo G'],6AgTAQt8XS6jRWi4sX7w49,True,69,171319,0.713,0.16,0.689,0.0,0.136,-5.99,0.255,156.934,0.63
6g6FfeozIEkVUXecpSq16Q,Elon Musk (feat. Gunna),"['DDG', 'Gunna']",0WK3H9OErSn5zKOkOV5egm,True,60,205758,0.826,0.441,0.583,0.0,0.155,-5.186,0.0626,140.039,0.539
5qgFgsrrxOjyPmX5YCuK2E,PUFFIN ON ZOOTIEZ,['Future'],1RyvyyTE3xzB2ZywiAwp0i,True,64,172933,0.883,0.0603,0.657,0.0,0.128,-5.748,0.305,124.992,0.284
42vJocnlXMjv9BiZJmoRBw,AHHH HA,['Lil Durk'],3hcs9uc56yIGFCSy9leWe7,True,43,186538,0.676,0.000114,0.61,1.73e-06,0.191,-9.185,0.273,156.005,0.519
3LtpKP5abr2qqjunvjlX5i,Doja,['Central Cee'],5H4yInM5zmHqpKIoMNAx4r,True,84,97392,0.911,0.38,0.573,0.0,0.403,-7.43,0.288,140.04,0.972
