id,name,artists,artistid,explicit,popularity,durationms,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
3MrwEvY003JnS66K9Lzgr7,Contemporary Music for Focusing on Work - Electric Guitar,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,170062,0.77,0.847,0.172,0.882,0.11,-16.362,0.0416,96.037,0.555
2ulvPc8OtO9z2tXjvcNTO8,Astounding Vibe for Jet Lag Recovery,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,159010,0.822,0.885,0.182,0.777,0.111,-18.096,0.0564,75.568,0.712
10z3kI2bdbi3xvHf29Gcfy,Background for Winter Walks,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,112198,0.717,0.796,0.28,0.909,0.1,-15.125,0.0458,122.393,0.542
5O2NqTQPO4qizONBFaZkcg,Quartet Jazz Soundtrack for Cool Morning Walks,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,120093,0.652,0.863,0.243,0.825,0.113,-16.26,0.0371,113.802,0.454
3GcLbtnrWQfaKiafYJBTwe,Moods for Working from Home - Joyful Piano and Acoustic Bass Duo,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,140527,0.712,0.872,0.155,0.91,0.0701,-22.93,0.0517,61.436,0.265
4uIaVubYzSScztMm6TEmL6,Resting,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,141920,0.812,0.961,0.136,0.868,0.0926,-16.683,0.0979,114.927,0.386
5LPKN6i2B3zbOXfAxyGzAe,Exquisite Backdrops for Calm Movements,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,130310,0.717,0.871,0.266,0.824,0.0856,-16.139,0.0335,105.07,0.431
1ohZGiZVuo27GvPk8pBP76,Thrilling Ambiance for Ultimate Sunday,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,123251,0.655,0.793,0.262,0.879,0.154,-15.22,0.0344,110.888,0.485
2mPE3YRmR6uek5eMKB7Q9T,Swanky Background Music for Cooking,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,120000,0.687,0.83,0.21,0.937,0.0843,-21.549,0.0453,144.073,0.432
29cBhBsbjXSBuhUqQsqCXg,Wicked Latin Guitar - Vibe for Watching Leaves Fall with Coffee,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,143220,0.747,0.61,0.309,0.661,0.113,-14.961,0.0365,113.952,0.532
35LlJlsRFM1B4FMQLwzpn4,Laid-back Moods for Staying Productive,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,147028,0.694,0.949,0.175,0.926,0.0965,-18.131,0.045,110.97,0.694
2gLa0RfadYM7ghyEC1PEf4,Exquisite - Sounds for Working at Home,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,119257,0.607,0.91,0.197,0.886,0.0904,-22.648,0.0843,144.523,0.327
1QDK2wRVDFfM91Qoin0kB8,Atmospheric Ambience for Calm Movements,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,135511,0.541,0.889,0.224,0.941,0.125,-16.245,0.0472,141.205,0.53
4L7M7evHKaazsb2wVxIMJf,Trio Jazz Soundtrack for Classy New York Lounges,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105697,0.605,0.98,0.374,0.915,0.107,-12.402,0.0881,100.973,0.562
3y48DhjEeLk5bBqkEfTCVM,Soundtrack for Peaceful Mornings,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,149815,0.741,0.805,0.174,0.944,0.112,-16.336,0.047,108.984,0.535
1ZzUsqrzDguAj00e7TtdOn,Laid-back Bgm for Tasteful Evenings,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,179350,0.733,0.879,0.186,0.93,0.108,-16.391,0.0436,91.034,0.46
4Z5fSXufRB0opzbMqPs1aN,Background for Cool Morning Walks,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,110341,0.595,0.87,0.248,0.849,0.173,-15.739,0.0439,124.216,0.551
60WmzCp5AN83sNG1qBmxrK,Casual A Mellow Overtone,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105697,0.519,0.992,0.165,0.93,0.055,-13.652,0.1,73.525,0.412
39hmGAVbiv4y9iXNDpzhpH,Ambience for Dreamy Days,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,170062,0.737,0.843,0.162,0.93,0.109,-19.076,0.0429,95.969,0.511
57FflwLaaU9RI9qrXZsory,Memories of Focusing on Work,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,149815,0.793,0.868,0.184,0.933,0.106,-17.046,0.0472,109.008,0.537
3TWPvoIvbUtvCIsUBkquui,Sprightly Moods for Cozy Winters at Home,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,116935,0.58,0.811,0.313,0.938,0.0876,-14.728,0.0431,116.829,0.472
4fNgQ7btZAgNtvExKe0T2G,Bgm for Alternative Club Lounges,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,163282,0.815,0.902,0.18,0.698,0.115,-19.263,0.051,146.971,0.691
32qCcn6mEw7w1g1ArwLWJF,Lovely Ambiance for Rainy Days,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,141177,0.621,0.377,0.301,0.838,0.106,-17.325,0.0756,169.972,0.642
6QHQIS4Nj7rZbLDatCzr38,Serene Focusing,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,181394,0.574,0.921,0.168,0.923,0.0928,-18.823,0.0408,179.857,0.5
708LJGCEweB2clNTSujuax,Warm NYC Jazz Nights,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105697,0.523,0.984,0.357,0.951,0.12,-13.12,0.12,106.259,0.543
0MBn27NHAH44hdDXTqhCOp,Soundscape for Work from Home,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,150743,0.77,0.961,0.177,0.249,0.122,-10.868,0.0449,120.825,0.626
0YqWga81q44ngXHHCtdoy9,Delightful Charming December,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,112198,0.638,0.809,0.29,0.908,0.212,-14.764,0.0382,122.016,0.418
2OPdiiEw6ZqQBLMjnzV2da,Carefree Moods for Cozy Winters at Home,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,116006,0.636,0.837,0.3,0.885,0.112,-15.682,0.057,118.241,0.341
6PgdByW1igHKwpBAQQeyaz,Background for Classy New York Lounges,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105697,0.595,0.99,0.211,0.912,0.0965,-12.08,0.0677,148.661,0.597
7wh5A9vZlNUfe34QkWHjng,Swanky Backdrops for Wellness,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,118421,0.573,0.984,0.0224,0.804,0.0826,-18.884,0.394,73.017,0.0603
6sEdGh7Q4Bq1CSDe4xavKP,Playful Moods for Chillout Sunday Mornings,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,136811,0.668,0.772,0.256,0.933,0.105,-15.176,0.0321,100.073,0.441
2jcZvM21X9Mj2n7dEXlHf2,Suave - Soundscapes for Dreamy Days,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,175542,0.766,0.829,0.152,0.911,0.111,-17.832,0.0396,93.064,0.39
2AlmEeTwOhKBwAY2Dy5mkl,Cuban Big Band Soundtrack for Autumn Coffee,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,153994,0.735,0.75,0.273,0.894,0.246,-15.179,0.0321,106.084,0.483
4uAiInYTBPIOkGBNUcgwo6,Tranquil Ambiance for Classy New York Lounges,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105697,0.615,0.993,0.224,0.872,0.0878,-13.867,0.0986,103.184,0.615
2OeTS04Ms5kyApK4hZREKN,Background for Chillout Nostalgia,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,108576,0.624,0.841,0.394,0.911,0.208,-12.725,0.0323,125.729,0.404
0F6bOcb4jMQx3d1en7edVO,Background for Productivity,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,163282,0.705,0.961,0.129,0.935,0.108,-17.948,0.0442,100.051,0.626
3wRezZw29ngrppBLn7DY1H,Double Bass Solo (Music for Working at Home),['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,140527,0.66,0.894,0.133,0.806,0.081,-22.862,0.0599,121.739,0.332
06z3Dw1s59qVhUo6mt388e,Divine Moods for Manhattan Beats,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105697,0.667,0.989,0.263,0.883,0.247,-12.947,0.0907,74.649,0.422
4It88vM6Hr91xB3Y5rsxpu,Quartet Jazz Soundtrack for Dream Catching,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105325,0.648,0.81,0.328,0.904,0.128,-13.708,0.04,130.471,0.487
3fYeOjs8ZEfw3E6zBj2oRg,Understated Jazz Piano Solo - Vibe for Cooking for Family,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,125294,0.784,0.99,0.065,0.943,0.0972,-18.598,0.377,69.044,0.19
7im6PNbu4ul7Jxqd2He4fI,Sensational Music for Vision,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,139505,0.738,0.918,0.179,0.849,0.0923,-18.492,0.0493,116.951,0.609
0rPOmwH36LJW5gvn6E1NHb,Mysterious Ambiance for NYC Jazz Nights,['2020 Jazz'],55q5lVgLgIXIJGnVQG0Oa8,False,0,105697,0.568,0.982,0.29,0.946,0.211,-13.709,0.102,98.718,0.438
